source_row,passage_seed_num,og_passage_seed_number,passage_variant,jabber_passage,,
0,1,1,The old woman sat on the porch swing. She watched the sun slowly dip below the horizon.,The fuite twouch blalfed on the splelve snaitch. She girgeed the thradd knerb knunt below the skorgue.,,
1,1,1,The aged lady enjoyed watching as the setting sun painted the sky with vibrant colors. She sat upon her worn-out porch swing and leisurely observed its decline.,The ghambed flusp phrormed frier as the dirping glym blieceed the smooge with shuke phraices. She crorceed dwource her slurge-out phlesk norb and frorne splezed its friln.,,
2,1,1,"As twilight descended, an elderly woman sat upon her favorite porch swing. Her gaze drifted towards the west where the setting sun began to disappear behind the distant hills.","As pheek snarshed, an thelve brugue shikeed fraif her dwem speich spreal. Her sleige snimbed twoice the crerv where the twauling plimp awned to blarm thrish the phlumf norbs.",,
3,1,1,She idly gazed out over the sunset from where she sat on the worn rocking chair. Her gaze followed the golden orb as it slowly sank beneath the surface of the day.,She whamp dwourceed out over the twove from where she twumfed on the treer drorb phrowse. Her dwource thabeed the thworch scule as it ghilm trengeed drewth the clilk of the visc.,,
4,2,3,"The old woman carefully walked towards the park, her bag clutched tightly in her hands. She stopped by the fountain and gazed at the reflection of the sky.","The swurt stuit truff squrseed knorn the gruth, her preff gnithed gwuth in her thwelfs. She gheached by the ooch and scisked at the rirm of the stirque.",,
5,2,3,"Agnes, a frail woman with silver hair pulled back into a tight bun, approached the ornate iron gates of the Central Park Zoo, her worn leather satchel swinging gently beside her. She paused before the towering bronze statue of a lion, its mane flowing like molten gold, and tilted her head to observe the intricate carvings on its paw.","Thrurke, a spleef glawn with soth strirge spephed psawk into a screlk gwaith, frirmed the gloarse thrule treeves of the Gign Showse Fusp, her rhouche ghimn dwidge knageing gwuch twav her. She screiched before the gheam gheve thruise of a clurb, its blurt glenching blourse thwizz whogue, and grysed her phlolve to scrusque the splype scrarks on its spulk.",,
6,2,3,"A frail woman, bent with age, shuffled toward the bustling city park, clutching a worn leather purse that smelled faintly of lavender. Her gaze lingered on the ornate fountain, its water cascading down into an intricate mosaic of blue and green tiles, mirroring the azure sky above.","A cluy skeeth, phirt with twurse, gigned koaf the phrouting meath relte, fritching a pasque scule ghight that zimned taice of zerg. Her thral shotched on the froul sluke, its haive gneeming down into an clis crerv of sluge and rharch throrms, rhelfing the gweague thwean above.",,
7,2,3,"The elderly woman approached the park slowly, clutching her bag close to her chest. She paused by the fountain, observing her own image in the water.","The gnudd thwauge twaped the plusque threrb, slugeing her gheach blish to her splys. She shrooshed by the scight, pralphing her own driff in the blurch.",,
8,3,4,"The leather-bound volume, its spine cracked and faded, sat nestled amongst stacks of yellowed legal documents on a dusty shelf, in a dimly lit law library. A musty odor, reminiscent of ancient parchment and forgotten treaties, permeated the air.","The phriff-bimb smange, its splumf phived and quiceed, gwouleed strougeed swache claices of glou troach cliss on a thybe rirm, in a thautch flub yuick gherg. A thworch glaut, geant of straint skosh and pelve gerps, clilned the kneint.",,
9,3,4,"The leather-bound volume, its spine cracked and edges frayed, sat nestled amongst stacks of yellowed legal documents on the dusty archive shelf. A subtle, yet distinct, scent of archival tobacco lingered in the air, a reminder of past research sessions held within these walls.","The twoar-ghilm prurg, its ghight phreaned and fusps fluched, thirted thrarceed twuch gwulps of spruch phalf pagues on the strasp splelt yarse. A dwoath, wheace wroaf, whirge of squin bratch thworceed in the julge, a predge of glaun scule phonges strilgeed dreave these whealts.",,
10,3,4,"A neglected book sat on a dusty armoire, its aged cover and fragile pages giving it an ancient appearance. The scent of old paper lingered in the room.","A dramp slooch shrarced on a rhorque strawn, its wrulched knaff and gheam plaiths grysing it an sloint skarse. The gnith of lerg scush nalphed in the phrus.",,
11,3,4,"A battered object sat on a dusty table, its faded surface hinting at its past. It radiated a soft, familiar presence that no one could name, yet felt deep inside.","A twoor rawp ploseed on a strame seague, its thrimn phautch threef at its sprooge. It zimbed a prowth, swilth splien that no crerk tirp crorce, gweem splorb ghort froul.",,
12,4,5,"The wind whipped through the dry, brown grass of the abandoned farm, sending shivers down my spine as it rustled the tattered remnants of a faded welcome sign that read Welcome to Willow Creek. The old, weather-beaten barn stood stoic, its once vibrant red paint now chipped and flaking, revealing the grain of its aged timber underneath.","The shrorge thwunked through the frowse, ghight scrong of the claleed crilt, shrithing plaiths down my gwulp as it smaucheed the thwont hebes of a drobe thilth strilm that flurge Thilth to Bonge Scranc. The thrart, splault-doque splurk shrowed splif, its once phurk scarsh skute now nawked and gneiking, trerveing the troise of its dwem shurb thruch.",,
13,4,5,"The late afternoon sun cast long shadows across the abandoned cornfield, illuminating dust motes dancing in the air. A lone oak tree, its branches gnarled and twisted by years of storms, stood sentinel at the edge of the field, casting an even longer shadow. The old barn, its wooden planks cracked and splintered, leaned precariously against the earth, like a skeletal hand reaching for the fading light.","The psarch fruin bratch truff sker drizzs skett the thrarted brusk, wrilking sprare tirps drarning in the neight. A thwelm thote blolt, its scruiles shukeed and brulseed by meints of skulbs, thwaled yonge at the phrose of the cype, truffing an syme skerer drizz. The deace chadge, its rhiece spluises phelfed and thryneed, gneemed brelte against the dirp, geathe a cloal shrorse skoshing for the smauche gwarm.",,
14,4,5,"The wind howled through the tall grass, creating a spooky atmosphere. The old barn stood silent, its rusted paint peeling away, revealing its weathered wood beneath.","The gwuit phurked through the flern cris, ghautching a pholve phirque. The rhilm throsh trirqueed rhos, its gaqueed girch twaulting knurke, teeveing its whuick plac proor.",,
15,4,5,"The late afternoon sun cast long shadows across the abandoned cornfield, illuminating dust motes dancing in the air. A lone oak tree, gnarled and ancient, stood sentinel over the field, its branches reaching towards the setting sun. The rusty hinges of an old barn creaked as if they were warning against trespassers. ","The smool thrane dwelk flusp nyme frulls squrse the crelched preik, dwawping brauce churses swozing in the gwomb. A grune reese spreme, dwolled and norb, gwarseed frolf over the yerb, its shrins symeing honge the frurf dwelk. The snurn thagues of an shumf braph gluthed as if they were phlalking against shragues.",,
16,5,6,"The old man sat on the porch swing, listening to the rhythmic chirping of the crickets. The gentle breeze rustled the leaves, creating a symphony of sounds.","The phrub neech spicheed on the phlult bruick, floafing to the strute sproseing of the frerns. The flusp swalph shrereed the crornes, kneaming a psool of shulbs.",,
17,5,6,"The weathered oak tree's gnarled branches swayed gently in the evening breeze, casting long shadows across the worn wooden porch. A lone cicada buzzed insistently, its song a stark contrast to the soft rustling of the leaves. The old man, his eyes closed, seemed lost in thought as he listened to the symphony of nature.","The streb glaut brun 's cris brypes smounted gwole in the phlaut brelt, prithing thwath driels neech the keethe treff plolt. A derch glike slerned snem, its briff a ghooch phlerve to the blauk kont of the phruills. The skorl dwoathe, his strells froreed, spebeed dieceed in glull as he snalphed to the preb of prague.",,
