sublist,seed,entropy,target_word,trial_number
1,1,1.679115057,sat,1
1,2,2.6301832,woman,2
1,3,1.4298105,dusty,3
1,4,2.534544,barn,4
1,5,0.14372054,breeze,5
1,6,0.5795676112,reading,6
1,7,0.09446001,canvas,7
1,8,1.4832243,display,8
1,9,0.8125607,chest,9
1,10,2.0965557,landscape,10
1,11,2.9632952,paintings,11
1,12,1.8663114,civilization,12
1,13,1.2082415,fog,13
1,14,4.006777,defendant,14
1,15,1.5848396,years,15
1,16,0.59874165,shadow,16
1,17,0.9372044,figure,17
1,18,1.3146881,studio,18
1,19,2.8372762,horizon,19
1,20,1.1664573,hues,20
2,1,2.50129056,sat,1
2,2,3.1115863,woman,2
2,3,1.5028998,dusty,3
2,4,3.2206562,barn,4
2,5,0.8872897,breeze,5
2,6,1.103490829,reading,6
2,7,0.14460798,canvas,7
2,8,3.1380866,display,8
2,9,1.6668924,chest,9
2,10,3.6288438,landscape,10
2,11,3.8053875,paintings,11
2,12,3.2015164,civilization,12
2,13,1.7903212,fog,13
2,14,4.006777,defendant,14
2,15,1.6688384,years,15
2,16,1.8087045,shadow,16
2,17,1.1922146,figure,17
2,18,2.7707837,studio,18
2,19,3.8614047,horizon,19
2,20,2.0705924,hues,20
3,1,2.676566362,sat,1
3,2,3.4620464,woman,2
3,3,2.5295255,dusty,3
3,4,3.675704,barn,4
3,5,1.2806053,breeze,5
3,6,1.476381898,reading,6
3,7,1.338097,canvas,7
3,8,3.211174,display,8
3,9,2.8843806,chest,9
3,10,4.049487,landscape,10
3,11,4.3319626,paintings,11
3,12,3.4485295,civilization,12
3,13,1.9457941,fog,13
3,14,4.6591234,defendant,14
3,15,1.8407437,years,15
3,16,2.8250563,shadow,16
3,17,2.3038135,figure,17
3,18,3.1866963,studio,18
3,19,4.7211604,horizon,19
3,20,2.0903893,hues,20
4,1,2.996272087,sat,1
4,2,4.3365912,woman,2
4,3,3.6307561,dusty,3
4,4,4.0002556,barn,4
4,5,1.4513763,breeze,5
4,6,2.250907183,reading,6
4,7,2.8643248,canvas,7
4,8,3.8184857,display,8
4,9,3.2785845,chest,9
4,10,4.4466114,landscape,10
4,11,4.3894305,paintings,11
4,12,4.2379756,civilization,12
4,13,2.0409768,fog,13
4,14,6.1473145,defendant,14
4,15,1.9429593,years,15
4,16,4.1361995,shadow,16
4,17,3.397266,figure,17
4,18,4.503624,studio,18
4,19,5.3835382,horizon,19
4,20,2.6191115,hues,20
